Ccode,Nation,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other,Major
630,IRN,0.005614286,0.001221429,0.975192857,0,0.001885714,4.29E-05,7.14E-06,0,0.0033,0,0,0,0,0,0.000807143,0.01195,Islam
640,TUR,0.007421429,0.000707143,0.985671429,5.00E-05,0,0,0,0,5.71E-05,0,0,0,1.43E-05,0,0.001064286,0.004992857,Islam
645,IRQ,0.028814286,0.0035,0.945057143,0,0,0,0,0,1.43E-05,0,0,0,6.43E-05,0,0.003357143,0.019157143,Islam
651,EGY,0.116828571,0.000571429,0.86965,0,0,0,0,0,1.43E-05,0,0,0,0,0,0.002121429,0.010807143,Islam
652,SYR,0.094815385,0.000953846,0.8911,0,0,0,0,0,0,0,0,0,0,0,0.003746154,0.009384615,Islam
660,LEB,0.485471429,0,0.472242857,0.004057143,0,0,0,0,5.71E-05,0,0,0,0,0,0.011614286,0.026557143,Christianity
663,JOR,0.048507143,0,0.938935714,0,0,0,0,0,0.000207143,0,0,0,0,0,0.00435,0.007985714,Islam
666,ISR,0.023684615,0.828569231,0.129023077,0,0,0,0,0,0,0,0,0,0,0,0.008615385,0.010130769,Judaism
670,SAU,0.015571429,0,0.964335714,0.000457143,0,0.003435714,0.000228571,0,4.29E-05,0,0,0,0.000142857,0,0.003907143,0.011878571,Islam
678,YAR,7.00E-05,0.02066,0.96005,0,0,0,0,0,0,0,0,0,0,0,0,0.01921,Islam
679,YEM,0,0,0.99648,0,0,0,0,0,0,0,0,0,0,0,0,0.00352,Islam
680,YPR,0,0,0.98514,0,0,0,0,0,2.00E-05,0,0,0,0,0,0,0.01484,Islam
690,KUW,0.034027273,0,0.905745455,0,0,0.0131,4.55E-05,0,0.0012,0,0,0,0,0,0.000854545,0.045036364,Islam
692,BAH,0.055355556,0.000111111,0.908555556,2.22E-05,0,0.005844444,0,0,0.000277778,0,0,0,0,0,0.000155556,0.029666667,Islam
694,QAT,0.069144444,0,0.807511111,0.009488889,0,0.066911111,0,0,0.000411111,0,0,0,0,0,0.007911111,0.038644444,Islam
696,UAE,0.037111111,0,0.8278,0.001044444,0,0.082255556,0.000233333,0,0.003722222,0,0,0,0,0,0.004977778,0.042877778,Islam
698,OMA,0.022333333,0,0.934288889,0.001511111,0,0.014222222,0.002733333,0,0.000355556,0,0,0,0,1.11E-05,0.000444444,0.0241,Islam
700,AFG,0.000392857,1.43E-05,0.976407143,0.000228571,0.001935714,0.003635714,0.000185714,0,0.000285714,0,0,0,0,0.000835714,0.006942857,0.00915,Islam
701,TKM,0.09,2.50E-05,0.89,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0.01,0.009675,Islam
702,TAJ,0.025225,0.0006,0.9125,0.00035,0.0003,0,0,0,0.000175,0,0,0,0,0.000225,0.0423,0.0183,Islam
703,KYR,0.130825,0.000375,0.773375,0.001025,5.00E-05,0,0,0,2.50E-05,0,0,0,0,0.001,0.056225,0.037075,Islam
704,UZB,0.07915,0.00105,0.9,0,0,0,0,0,0,0,0,0,0,0,0.014675,0.0051,Islam
705,KZK,0.281825,0.000425,0.510375,0.000275,5.00E-05,0,2.50E-05,0,5.00E-05,0,0,0,2.50E-05,0.00045,0.203375,0.003175,Islam
710,CHN,0.026142857,0,0.019592857,0.097364286,0,0,0,0,0,0.001628571,0,0,0.4738,0.044928571,0.332042857,0.004485714,Syncretic
